task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
63	02/27ae0c	687150	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (15)	COMPLETED	0	2025-04-11 08:47:04.390	4m 21s	4m 7s	141.6%	3.1 GB	14.4 GB	3.2 GB	2.9 GB
39	ea/b090c2	253018	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (11)	COMPLETED	0	2025-04-11 07:26:37.670	1h 26m 55s	1h 26m 52s	43.1%	42.6 GB	47.5 GB	28 GB	22.3 GB
65	a6/e55d48	717717	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (17)	COMPLETED	0	2025-04-11 08:51:10.706	5m 46s	5m 45s	126.0%	4.9 GB	14.2 GB	2.9 GB	2.7 GB
66	60/b62a0c	731840	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (18)	COMPLETED	0	2025-04-11 08:53:32.802	5m 29s	5m 26s	141.2%	4 GB	14.4 GB	4 GB	3.7 GB
55	65/948b20	686746	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (19)	COMPLETED	0	2025-04-11 08:47:03.385	14m 33s	14m 30s	106.7%	18.5 GB	38 GB	10.8 GB	8.3 GB
57	a0/82bde9	697794	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (20)	COMPLETED	0	2025-04-11 08:48:29.701	18m 37s	18m 34s	99.3%	22.7 GB	40.4 GB	12.9 GB	9.9 GB
67	bf/ab13be	769022	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (19)	COMPLETED	0	2025-04-11 09:01:37.371	7m 32s	7m 30s	120.3%	6.4 GB	14.2 GB	2.4 GB	2.4 GB
58	cc/57148b	716970	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (21)	COMPLETED	0	2025-04-11 08:51:09.702	20m 18s	20m 15s	106.2%	32.8 GB	45.6 GB	14.6 GB	11.3 GB
59	4a/0b4bad	731833	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (22)	COMPLETED	0	2025-04-11 08:53:32.797	19m 16s	19m 13s	117.2%	27.3 GB	41.1 GB	15.4 GB	11.9 GB
60	2a/80cce2	768445	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (23)	COMPLETED	0	2025-04-11 09:01:36.366	11m 45s	11m 42s	216.4%	35.9 GB	45 GB	16.9 GB	13.1 GB
62	d5/d7337f	788341	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (24)	COMPLETED	0	2025-04-11 09:07:06.737	7m 46s	7m 43s	280.0%	26.8 GB	41.1 GB	14.9 GB	11.4 GB
68	27/04304c	788370	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (20)	COMPLETED	0	2025-04-11 09:07:06.782	10m 9s	10m 7s	120.3%	7.2 GB	14.4 GB	3 GB	3 GB
69	29/3a7913	810402	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (21)	COMPLETED	0	2025-04-11 09:11:27.724	6m 21s	6m 19s	127.1%	5.3 GB	14.2 GB	2.5 GB	2.4 GB
71	47/ae7452	823773	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (23)	COMPLETED	0	2025-04-11 09:13:20.890	4m 38s	4m 36s	132.2%	3.7 GB	14.3 GB	2.5 GB	2.3 GB
70	32/fe6df0	818615	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (22)	COMPLETED	0	2025-04-11 09:12:48.816	7m 30s	7m 28s	125.3%	6.4 GB	14.4 GB	2.8 GB	2.7 GB
72	b7/fc3f91	836917	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (24)	COMPLETED	0	2025-04-11 09:14:52.442	8m 53s	8m 51s	122.6%	6.9 GB	14.3 GB	3.1 GB	3 GB
